날짜,제품,고객사,지역,수량,단가,총매출,영업담당,고객유형
2025-05-12,디럭스 세트,송파물류,서울,5,299000,1495000,김영희,중소기업
2025-05-13,프리미엄 세트,수원디지털,경기,14,149000,2086000,정수진,중소기업
2025-05-14,베이직 세트,동래상사,부산,9,49000,441000,이철수,중소기업
2025-05-15,디럭스 세트,리저널체인,부산,10,299000,2990000,이철수,대기업
2025-05-15,프리미엄 세트,관악오피스,서울,6,149000,894000,박민수,중소기업
2025-05-16,베이직 세트,파주테크,경기,22,49000,1078000,정수진,중소기업
2025-05-17,디럭스 세트,한양물산,서울,8,299000,2392000,김영희,대기업
2025-05-18,프리미엄 세트,동네마트,부산,12,149000,1788000,이철수,중소기업
2025-05-19,베이직 세트,강동오피스,서울,11,49000,539000,박민수,중소기업
2025-05-20,베이직 세트,테크이노베이터,경기,22,49000,1078000,정수진,대기업
2025-05-20,디럭스 세트,북구물산,부산,4,299000,1196000,이철수,중소기업
2025-05-21,프리미엄 세트,경기산업,경기,17,149000,2533000,정수진,대기업
2025-05-22,디럭스 세트,오피스서플라이,서울,14,299000,4186000,박민수,대기업
2025-05-22,베이직 세트,창원테크,부산,13,49000,637000,이철수,중소기업
2025-05-23,프리미엄 세트,분당IT,경기,8,149000,1192000,정수진,대기업
2025-05-25,프리미엄 세트,코너스토어,서울,6,149000,894000,박민수,중소기업
2025-05-26,디럭스 세트,울산산업,부산,9,299000,2691000,이철수,대기업
2025-05-27,베이직 세트,고양물류,경기,19,49000,931000,정수진,중소기업
2025-05-28,베이직 세트,디지털에이전시,경기,18,49000,882000,정수진,중소기업
2025-05-28,프리미엄 세트,강북상사,서울,10,149000,1490000,김영희,중소기업
2025-05-29,디럭스 세트,부산상사,부산,6,299000,1794000,이철수,중소기업
2025-05-30,디럭스 세트,제조산업,부산,25,299000,7475000,이철수,대기업
2025-05-30,프리미엄 세트,안산테크,경기,12,149000,1788000,정수진,중소기업
2025-05-31,베이직 세트,중구오피스,서울,15,49000,735000,박민수,중소기업
2025-06-02,프리미엄 세트,유통체인,부산,35,149000,5215000,이철수,대기업
2025-06-02,디럭스 세트,테크솔루션,경기,11,299000,3289000,정수진,대기업
2025-06-03,베이직 세트,강남테크,서울,14,49000,686000,김영희,대기업
2025-06-04,프리미엄 세트,인천물류,경기,18,149000,2682000,정수진,중소기업
2025-06-05,베이직 세트,컨설팅펌,서울,12,49000,588000,김영희,중소기업
2025-06-05,디럭스 세트,김해물류,부산,7,299000,2093000,이철수,중소기업
2025-06-06,프리미엄 세트,서초엔터프라이즈,서울,16,149000,2384000,박민수,대기업
2025-06-07,베이직 세트,용인산업,경기,24,49000,1176000,정수진,중소기업
2025-06-08,디럭스 세트,에이비씨 주식회사,서울,16,299000,4784000,김영희,대기업
2025-06-09,프리미엄 세트,해운대상사,부산,13,149000,1937000,이철수,중소기업
2025-06-10,프리미엄 세트,스몰비즈,부산,9,149000,1341000,이철수,중소기업
2025-06-10,베이직 세트,판교테크,경기,17,49000,833000,정수진,대기업
2025-06-11,디럭스 세트,메가코프,서울,13,299000,3887000,김영희,대기업
2025-06-12,베이직 세트,테크솔루션,경기,28,49000,1372000,정수진,대기업
2025-06-12,프리미엄 세트,동래상사,부산,8,149000,1192000,이철수,중소기업
2025-06-13,디럭스 세트,강서물류,서울,10,299000,2990000,박민수,중소기업
2025-06-14,베이직 세트,리저널체인,부산,21,49000,1029000,이철수,대기업
2025-06-15,디럭스 세트,로컬스토어,서울,7,299000,2093000,박민수,중소기업
2025-06-16,프리미엄 세트,화성산업,경기,15,149000,2235000,정수진,중소기업
2025-06-17,베이직 세트,한양물산,서울,9,49000,441000,김영희,대기업
2025-06-18,프리미엄 세트,스타트업코리아,경기,22,149000,3278000,정수진,중소기업
2025-06-18,디럭스 세트,사하물산,부산,5,299000,1495000,이철수,중소기업
2025-06-19,베이직 세트,서울오피스,서울,18,49000,882000,박민수,대기업
2025-06-20,베이직 세트,리저널체인,부산,16,49000,784000,이철수,대기업
2025-06-20,프리미엄 세트,일산테크,경기,11,149000,1639000,정수진,중소기업
2025-06-21,디럭스 세트,오피스서플라이,서울,12,299000,3588000,박민수,대기업
2025-06-22,디럭스 세트,동네마트,부산,5,299000,1495000,이철수,중소기업
2025-06-23,프리미엄 세트,수원디지털,경기,19,149000,2831000,정수진,중소기업
2025-06-24,베이직 세트,영등포상사,서울,12,49000,588000,박민수,대기업
2025-06-25,프리미엄 세트,테크이노베이터,경기,28,149000,4172000,정수진,대기업
2025-06-25,디럭스 세트,울산산업,부산,8,299000,2392000,이철수,대기업
2025-06-26,베이직 세트,종로상사,서울,10,49000,490000,김영희,중소기업
2025-06-27,프리미엄 세트,거제산업,부산,14,149000,2086000,이철수,중소기업
2025-06-28,베이직 세트,오피스서플라이,서울,20,49000,980000,박민수,대기업
2025-06-28,디럭스 세트,성남IT,경기,9,299000,2691000,정수진,중소기업
2025-06-29,프리미엄 세트,북구물산,부산,10,149000,1490000,이철수,중소기업
2025-06-30,디럭스 세트,코너스토어,서울,11,299000,3289000,박민수,중소기업
2025-06-30,베이직 세트,안양산업,경기,16,49000,784000,정수진,중소기업
2025-06-30,프리미엄 세트,제조산업,부산,32,149000,4768000,이철수,대기업
